"id","sex","taxon","event","lat","lon","ele","coordinateNotes","label","start","end","sample","trap","site","NA"
"10519","F","Syzeuctus sp1","Amazon 1998","","","","","47
PERU, Dept. of Loreto Iquitos area, Allpahuayo 20.10-5.11.1998, varillal I.E.S., R.J. et al. leg. Malaise trap, APHI, D1/5 012
53",1998-10-20,1998-11-05,"d1-5","d1","sand","Amazon 1998"
"10520","F","Syzeuctus sp1","Amazon 2000","-3.943361111111","-73.411444444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 15.-28.12.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, E1/18",2000-12-15,2000-12-28,"e1-18","e1","sand","Amazon 2000"
"10521","F","Syzeuctus sp1","Amazon 2000","-3.943361111111","-73.411444444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 15.-28.12.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, E1/18",2000-12-15,2000-12-28,"e1-18","e1","sand","Amazon 2000"
"10522","F","Syzeuctus sp1","Amazon 2000","-3.941388888889","-73.405805555556","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.2.-8.3.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, E3/2",2000-02-22,2000-03-08,"e3-2","e3","sand","Amazon 2000"
"10523","F","Syzeuctus sp1","Amazon 2000","-3.942055555556","-73.408166666667","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 2-18.8.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, E2/11",2000-08-02,2000-08-18,"e2-11","e2","sand","Amazon 2000"
"10524","F","Syzeuctus sp1","Amazon 2000","-3.9445","-73.413527777778","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/4",2000-03-24,2000-04-16,"f1-4","f1","loam","Amazon 2000"
"10525","F","Syzeuctus sp1","Amazon 2000","-3.9445","-73.413527777778","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/4",2000-03-24,2000-04-16,"f1-4","f1","loam","Amazon 2000"
"10526","F","Syzeuctus sp1","Amazon 2000","-3.946555555556","-73.413055555556","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.-7.3.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F2/2",2000-02-22,2000-03-07,"f2-2","f2","loam","Amazon 2000"
"10527","F","Syzeuctus sp1","Amazon 2000","-3.9445","-73.413527777778","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 15.10.-8.11.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/16",2000-11-08,2000-12-01,"f1-16","f1","loam","Amazon 2000"
"10528","F","Syzeuctus sp1","Amazon 2000","-3.9445","-73.413527777778","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.1.-22.2.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/1",2000-01-22,2000-02-22,"f1-1","f1","loam","Amazon 2000"
"10529","F","Syzeuctus sp1","Amazon 2000","-3.946555555556","-73.413055555556","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 7-24.3.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F2/3",2000-03-07,2000-03-24,"f2-3","f2","loam","Amazon 2000"
"10530","F","Syzeuctus sp1","Amazon 2000","-3.946833333333","-73.423472222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G1/4",2000-03-24,2000-04-16,"g1-4","g1","sand","Amazon 2000"
"10531","F","Syzeuctus sp1","Amazon 2000","-3.946833333333","-73.423472222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G1/4",2000-03-24,2000-04-16,"g1-4","g1","sand","Amazon 2000"
"10532","F","Syzeuctus sp1","Amazon 2000","-3.934166666667","-73.441388888889","","The coordinates of g2 and g3 were measured at a later date than other Amazon 2000 traps. They should be within 10-20 metres accurate.","PERU, Dept. of Loreto Iquitos area, Allpahuayo 8.-24.3.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G3/3",2000-03-08,2000-03-24,"g3-3","g3","sand","Amazon 2000"
"10533","F","Syzeuctus sp1","Amazon 2000","-3.934166666667","-73.441388888889","","The coordinates of g2 and g3 were measured at a later date than other Amazon 2000 traps. They should be within 10-20 metres accurate.","PERU, Dept. of Loreto Iquitos area, Allpahuayo 8.-24.3.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G3/3",2000-03-08,2000-03-24,"g3-3","g3","sand","Amazon 2000"
"10534","F","Syzeuctus sp1","Amazon 2000","-3.934166666667","-73.441388888889","","The coordinates of g2 and g3 were measured at a later date than other Amazon 2000 traps. They should be within 10-20 metres accurate.","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G3/4",2000-03-24,2000-04-16,"g3-4","g3","sand","Amazon 2000"
"10535","F","Syzeuctus sp1","Amazon 2000","-3.946833333333","-73.423472222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 16.7-2.8.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G1/10",2000-07-16,2000-08-02,"g1-10","g1","sand","Amazon 2000"
"10536","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/4",2000-03-24,2000-04-17,"h1-4","h1","loam","Amazon 2000"
"10537","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/4",2000-03-24,2000-04-17,"h1-4","h1","loam","Amazon 2000"
"10538","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/4",2000-03-24,2000-04-17,"h1-4","h1","loam","Amazon 2000"
"10539","F","Syzeuctus sp1","Amazon 2000","-3.953694444444","-73.418722222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/4",2000-03-24,2000-04-17,"h2-4","h2","clay","Amazon 2000"
"10540","F","Syzeuctus sp1","Amazon 2000","-3.953694444444","-73.418722222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/4",2000-03-24,2000-04-17,"h2-4","h2","clay","Amazon 2000"
"10541","F","Syzeuctus sp1","Amazon 2000","-3.953694444444","-73.418722222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 8.11.-1.12.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/16",2000-11-08,2000-12-01,"h2-16","h2","clay","Amazon 2000"
"10542","F","Syzeuctus sp1","Amazon 2000","-3.953694444444","-73.418722222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/5",2000-04-17,2000-05-03,"h2-5","h2","clay","Amazon 2000"
"10543","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.5-11.6.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/7",2000-05-22,2000-06-11,"h1-7","h1","loam","Amazon 2000"
"10544","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.5-11.6.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/7",2000-05-22,2000-06-11,"h1-7","h1","loam","Amazon 2000"
"10545","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.5-11.6.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/7",2000-05-22,2000-06-11,"h1-7","h1","loam","Amazon 2000"
"10546","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5",2000-04-17,2000-05-03,"h1-5","h1","loam","Amazon 2000"
"10547","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5",2000-04-17,2000-05-03,"h1-5","h1","loam","Amazon 2000"
"10548","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5",2000-04-17,2000-05-03,"h1-5","h1","loam","Amazon 2000"
"10549","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5",2000-04-17,2000-05-03,"h1-5","h1","loam","Amazon 2000"
"10550","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5",2000-04-17,2000-05-03,"h1-5","h1","loam","Amazon 2000"
"10551","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5",2000-04-17,2000-05-03,"h1-5","h1","loam","Amazon 2000"
"10552","F","Syzeuctus sp1","Amazon 2000","-3.953694444444","-73.418722222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 18.8.-14.9.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/12",2000-08-18,2000-09-14,"h2-12","h2","clay","Amazon 2000"
"10553","F","Syzeuctus sp1","Amazon 2000","-3.953694444444","-73.418722222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.-29.6.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/8",2000-06-11,2000-06-29,"h2-8","h2","clay","Amazon 2000"
"10554","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 29.6.-16.7.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/9",2000-06-29,2000-07-16,"h1-9","h1","loam","Amazon 2000"
"10555","F","Syzeuctus sp1","Amazon 2000","-3.948916666667","-73.421194444444","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 8.11.-1.12.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/16",2000-11-08,2000-12-01,"h1-16","h1","loam","Amazon 2000"
"10556","F","Syzeuctus sp1","Amazon 2000","-3.971972222222","-73.432055555556","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, J2/5",2000-04-17,2000-05-03,"j2-5","j2","clay","Amazon 2000"
"10557","F","Syzeuctus sp1","Amazon 2000","-3.971972222222","-73.432055555556","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, J2/5",2000-04-17,2000-05-03,"j2-5","j2","clay","Amazon 2000"
"10558","F","Syzeuctus sp1","Amazon 2000","-3.971972222222","-73.432055555556","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, J2/5",2000-04-17,2000-05-03,"j2-5","j2","clay","Amazon 2000"
"10559","F","Syzeuctus sp1","Amazon 2000","-3.971972222222","-73.432055555556","","","J2 1.3-16.3.00 (3) 24.III-2000 (7) 8-24.3.00 11.",2000-03-08,2000-03-24,"j2-3","j2","clay","Amazon 2000"
"10560","F","Syzeuctus sp1","Amazon 2000","-3.971972222222","-73.432055555556","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, J2/4",2000-03-24,2000-04-17,"j2-4","j2","clay","Amazon 2000"
"10561","F","Syzeuctus sp1","Amazon 2000","-3.962972222222","-73.442722222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo April 2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, I1/4",2000-03-24,2000-04-17,"i1-4","i1","sand","Amazon 2000"
"10562","F","Syzeuctus sp1","Amazon 2000","-3.962972222222","-73.442722222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo April 2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, I1/4",2000-03-24,2000-04-17,"i1-4","i1","sand","Amazon 2000"
"10563","F","Syzeuctus sp1","Amazon 2000","-3.9675","-73.436527777778","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 2-18.8.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, I2/11",2000-08-02,2000-08-18,"i2-11","i2","sand","Amazon 2000"
"10564","F","Syzeuctus sp1","Amazon 2000","-3.960833333333","-73.444527777778","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 29.1.-20.2.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, I3/1",2000-01-29,2000-02-20,"i3-1","i3","sand","Amazon 2000"
"10565","F","Syzeuctus sp1","Amazon 2000","-3.962972222222","-73.442722222222","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo April 2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, I1/4",2000-03-24,2000-04-17,"i1-4","i1","sand","Amazon 2000"
"10566","F","Syzeuctus sp1","Amazon 2000","-3.960833333333","-73.444527777778","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 8.-24.3.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, I3/3",2000-03-08,2000-03-24,"i3-3","i3","sand","Amazon 2000"
"10567","F","Syzeuctus sp1","Amazon 2000","-3.9675","-73.436527777778","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4.-3.5.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, I2/5",2000-04-17,2000-05-03,"i2-5","i2","sand","Amazon 2000"
"10568","F","Syzeuctus sp1","Amazon 2000","","","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 15.10.-8.11.2000, chamizal Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, K2/15",2000-10-15,2000-11-08,"k2-15","k2","sand","Amazon 2000"
"10569","F","Syzeuctus sp1","Amazon 2011","-3.951383333333","-73.402588888889","90","The coordinates come from a file in https://doi.org/10.5281/zenodo.3559054 . The decimal point of the seconds seems to be missing, so it is uncertain what the actual coordinates are. These are the best guesses based on placing the decimal point in different places and seeing if the point lands on secondary forest in Google Maps. It may also be worth comparing to the pictures of the trap sites (https://doi.org/10.5281/zenodo.3559054).","PERU, Dept. of Loreto, Iquitos area, Allpahuayo 5-11.8.2011 Gómez&Sääksjärvi leg. Malaise1 Week16 30 57' 49 \"S  73 24' 93 \" W",2011-09-04,2011-09-11,"m1-16","m1","secondary","Amazon 2011"
"10570","F","Syzeuctus sp1","Amazon 2011","-3.951383333333","-73.402588888889","90","The coordinates come from a file in https://doi.org/10.5281/zenodo.3559054 . The decimal point of the seconds seems to be missing, so it is uncertain what the actual coordinates are. These are the best guesses based on placing the decimal point in different places and seeing if the point lands on secondary forest in Google Maps. It may also be worth comparing to the pictures of the trap sites (https://doi.org/10.5281/zenodo.3559054).","PERU, Dept. of Loreto, Iquitos area, Allpahuayo 26.9-2.10.2011 Gómez&Sääksjärvi leg. Malaise1 Week19 30 57' 49\"S  73 24' 93\" W",2011-09-25,2011-10-02,"m1-19","m1","secondary","Amazon 2011"
"10571","M","Syzeuctus sp1","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.12-20.1.1999, varillal I.E.S., R.J. et al. leg. Malaise t., APHI D2/9 103",1998-12-17,1999-01-20,"d2-9","d2","sand","Amazon 1998"
"10572","M","Syzeuctus sp1","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.11-3.12.1998, varillal I.E.S., R.J. et al. leg. Malaise t., APHI D2/7 159",1998-11-17,1998-12-03,"d2-7","d2","sand","Amazon 1998"
