MYObjectID,MYDatasetID[0],MYDatasetID[1],MYDatasetID[2],MYSeparatedFrom,MYGathering[0][MYUnit][0][MYSex],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxon],MYGathering[0][MYCollectingEventName],MYGathering[0][MYDateBegin],MYGathering[0][MYDateEnd],MYGathering[0][MYLatitude],MYGathering[0][MYLongitude],MYGathering[0][MYAlt],MYGathering[0][MYCoordinateNotes],MYLabelsVerbatim
Object ID,Datasets,Datasets,Datasets,Separated from specimen,1.1. Sex,1.1.1. Species,1. Collecting event name,1. Start date,1. End date,1. Lat (N),1. Lon (E),1. Alt in meters,1. Coordinate notes,Verbatim labels
10229,GX.9116,GX.9377,GX.9156,http://mus.utu.fi/ZMUT.9689,M,Syzeuctus sp3,Amazon 2000,16.07.2000,02.08.2000,-3.9445,-73.413527777778,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 16.7-2.8.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/10"
10230,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9772,M,Syzeuctus sp3,Amazon 2000,17.10.2000,08.11.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.10-8.11.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/15"
10231,GX.9118,GX.9516,GX.9169,http://mus.utu.fi/ZMUT.10059,F,Syzeuctus sp4,Amazon 2011,30.10.2011,6.11.2011,-3.967163888889,-73.417222222222,130,"The coordinates come from a file in https://doi.org/10.5281/zenodo.3559054 . The decimal point of the seconds seems to be missing, so it is uncertain what the actual coordinates are. These are the best guesses based on placing the decimal point in different places and seeing if the point lands on secondary forest in Google Maps. It may also be worth comparing to the pictures of the trap sites (https://doi.org/10.5281/zenodo.3559054).","PERU, Dept. of Loreto, Iquitos area, Allpahuayo 31.10 -6.11.2011 I.Gómez&Sääksjärvi leg. Malaise2 Week24 30 58' 17""S  73 25' 20""W"
10232,GX.9118,GX.9516,GX.9168,http://mus.utu.fi/ZMUT.10020,F,Syzeuctus sp4,Amazon 2011,25.9.2011,2.10.2011,-3.951383333333,-73.402588888889,90,"The coordinates come from a file in https://doi.org/10.5281/zenodo.3559054 . The decimal point of the seconds seems to be missing, so it is uncertain what the actual coordinates are. These are the best guesses based on placing the decimal point in different places and seeing if the point lands on secondary forest in Google Maps. It may also be worth comparing to the pictures of the trap sites (https://doi.org/10.5281/zenodo.3559054).","PERU, Dept. of Loreto, Iquitos area, Allpahuayo 26.9-2.10.2011 Gómez&Sääksjärvi leg. Malaise1 Week19 30 57' 49""S  73 24' 93"" W"
10513,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9555,F,Syzeuctus sp1,Amazon 1998,01.10.1998,16.10.1998,,,,,"PERU, Dept. of Loreto Iquitos area, Mishana 1-16.10.1998, clayish soil I.E.S., R.J. et al. leg. Malaise t., APHI A1/4 130
21
49"
10514,GX.9136,GX.9376,GX.9141,http://mus.utu.fi/ZMUT.9560,F,Syzeuctus sp1,Amazon 1998,16.12.1998,01.01.1999,,,,,"27
PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 313
43"
10515,GX.9136,GX.9376,GX.9147,http://mus.utu.fi/ZMUT.9604,F,Syzeuctus sp1,Amazon 1998,18.09.1998,04.10.1998,,,,,"42
PERU, Dept. of Loreto Iquitos area, Allpahuayo 18.9-4.10.1998, clay I.E.S., R.J. et al. leg. Malaise trap, APHI, C2/3 011
47"
10516,GX.9136,GX.9376,GX.9147,http://mus.utu.fi/ZMUT.9604,F,Syzeuctus sp1,Amazon 1998,18.09.1998,04.10.1998,,,,,"42
PERU, Dept. of Loreto Iquitos area, Allpahuayo 18.9-4.10.1998, clay I.E.S., R.J. et al. leg. Malaise trap, APHI, C2/3 012
48"
10517,GX.9136,GX.9375,GX.9148,http://mus.utu.fi/ZMUT.9619,F,Syzeuctus sp1,Amazon 1998,17.12.1998,20.01.1999,,,,,"59
PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.12-20.1.1998, varillal I.E.S., R.J. et al. leg. Malaise trap, APHI, D1/9 015
46"
10518,GX.9136,GX.9375,GX.9148,http://mus.utu.fi/ZMUT.9611,F,Syzeuctus sp1,Amazon 1998,20.08.1998,04.09.1998,,,,,"57
PERU, Dept. of Loreto Iquitos area, Allpahuayo 20.8-4.9.1998, varillal I.E.S., R.J. et al. leg. Malaise trap, APHI, D1/1 007
45"
10519,GX.9136,GX.9375,GX.9148,http://mus.utu.fi/ZMUT.9615,F,Syzeuctus sp1,Amazon 1998,20.10.1998,05.11.1998,,,,,"47
PERU, Dept. of Loreto Iquitos area, Allpahuayo 20.10-5.11.1998, varillal I.E.S., R.J. et al. leg. Malaise trap, APHI, D1/5 012
53"
10520,GX.9116,GX.9375,GX.9153,http://mus.utu.fi/ZMUT.9654,F,Syzeuctus sp1,Amazon 2000,15.12.2000,28.12.2000,-3.943361111111,-73.411444444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 15.-28.12.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, E1/18"
10521,GX.9116,GX.9375,GX.9153,http://mus.utu.fi/ZMUT.9654,F,Syzeuctus sp1,Amazon 2000,15.12.2000,28.12.2000,-3.943361111111,-73.411444444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 15.-28.12.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, E1/18"
10522,GX.9116,GX.9375,GX.9155,http://mus.utu.fi/ZMUT.9669,F,Syzeuctus sp1,Amazon 2000,22.02.2000,08.03.2000,-3.941388888889,-73.405805555556,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.2.-8.3.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, E3/2"
10523,GX.9116,GX.9375,GX.9154,http://mus.utu.fi/ZMUT.9662,F,Syzeuctus sp1,Amazon 2000,02.08.2000,18.08.2000,-3.942055555556,-73.408166666667,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 2-18.8.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, E2/11"
10524,GX.9116,GX.9377,GX.9156,http://mus.utu.fi/ZMUT.9684,F,Syzeuctus sp1,Amazon 2000,24.03.2000,16.04.2000,-3.9445,-73.413527777778,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/4"
10525,GX.9116,GX.9377,GX.9156,http://mus.utu.fi/ZMUT.9684,F,Syzeuctus sp1,Amazon 2000,24.03.2000,16.04.2000,-3.9445,-73.413527777778,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/4"
10526,GX.9116,GX.9377,GX.9157,http://mus.utu.fi/ZMUT.9699,F,Syzeuctus sp1,Amazon 2000,22.02.2000,07.03.2000,-3.946555555556,-73.413055555556,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.-7.3.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F2/2"
10527,GX.9116,GX.9377,GX.9156,http://mus.utu.fi/ZMUT.9695,F,Syzeuctus sp1,Amazon 2000,08.11.2000,01.12.2000,-3.9445,-73.413527777778,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 15.10.-8.11.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/16"
10528,GX.9116,GX.9377,GX.9156,http://mus.utu.fi/ZMUT.9681,F,Syzeuctus sp1,Amazon 2000,22.01.2000,22.02.2000,-3.9445,-73.413527777778,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.1.-22.2.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F1/1"
10529,GX.9116,GX.9377,GX.9157,http://mus.utu.fi/ZMUT.9700,F,Syzeuctus sp1,Amazon 2000,07.03.2000,24.03.2000,-3.946555555556,-73.413055555556,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 7-24.3.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, F2/3"
10530,GX.9116,GX.9375,GX.9158,http://mus.utu.fi/ZMUT.9715,F,Syzeuctus sp1,Amazon 2000,24.03.2000,16.04.2000,-3.946833333333,-73.423472222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G1/4"
10531,GX.9116,GX.9375,GX.9158,http://mus.utu.fi/ZMUT.9715,F,Syzeuctus sp1,Amazon 2000,24.03.2000,16.04.2000,-3.946833333333,-73.423472222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G1/4"
10532,GX.9116,GX.9375,GX.9160,http://mus.utu.fi/ZMUT.9745,F,Syzeuctus sp1,Amazon 2000,08.03.2000,24.03.2000,-3.934166666667,-73.441388888889,,The coordinates of g2 and g3 were measured at a later date than other Amazon 2000 traps. They should be within 10-20 metres accurate.,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 8.-24.3.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G3/3"
10533,GX.9116,GX.9375,GX.9160,http://mus.utu.fi/ZMUT.9745,F,Syzeuctus sp1,Amazon 2000,08.03.2000,24.03.2000,-3.934166666667,-73.441388888889,,The coordinates of g2 and g3 were measured at a later date than other Amazon 2000 traps. They should be within 10-20 metres accurate.,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 8.-24.3.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G3/3"
10534,GX.9116,GX.9375,GX.9160,http://mus.utu.fi/ZMUT.9746,F,Syzeuctus sp1,Amazon 2000,24.03.2000,16.04.2000,-3.934166666667,-73.441388888889,,The coordinates of g2 and g3 were measured at a later date than other Amazon 2000 traps. They should be within 10-20 metres accurate.,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-16.4.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G3/4"
10535,GX.9116,GX.9375,GX.9158,http://mus.utu.fi/ZMUT.9719,F,Syzeuctus sp1,Amazon 2000,16.07.2000,02.08.2000,-3.946833333333,-73.423472222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 16.7-2.8.2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, G1/10"
10536,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9761,F,Syzeuctus sp1,Amazon 2000,24.03.2000,17.04.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/4"
10537,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9761,F,Syzeuctus sp1,Amazon 2000,24.03.2000,17.04.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/4"
10538,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9761,F,Syzeuctus sp1,Amazon 2000,24.03.2000,17.04.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/4"
10539,GX.9116,GX.9376,GX.9162,http://mus.utu.fi/ZMUT.9779,F,Syzeuctus sp1,Amazon 2000,24.03.2000,17.04.2000,-3.953694444444,-73.418722222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/4"
10540,GX.9116,GX.9376,GX.9162,http://mus.utu.fi/ZMUT.9779,F,Syzeuctus sp1,Amazon 2000,24.03.2000,17.04.2000,-3.953694444444,-73.418722222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3.-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/4"
10541,GX.9116,GX.9376,GX.9162,http://mus.utu.fi/ZMUT.9791,F,Syzeuctus sp1,Amazon 2000,08.11.2000,01.12.2000,-3.953694444444,-73.418722222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 8.11.-1.12.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/16"
10542,GX.9116,GX.9376,GX.9162,http://mus.utu.fi/ZMUT.9780,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.953694444444,-73.418722222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/5"
10543,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9764,F,Syzeuctus sp1,Amazon 2000,22.05.2000,11.06.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.5-11.6.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/7"
10544,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9764,F,Syzeuctus sp1,Amazon 2000,22.05.2000,11.06.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.5-11.6.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/7"
10545,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9764,F,Syzeuctus sp1,Amazon 2000,22.05.2000,11.06.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 22.5-11.6.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/7"
10546,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9762,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5"
10547,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9762,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5"
10548,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9762,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5"
10549,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9762,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5"
10550,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9762,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5"
10551,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9762,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/5"
10552,GX.9116,GX.9376,GX.9162,http://mus.utu.fi/ZMUT.9787,F,Syzeuctus sp1,Amazon 2000,18.08.2000,14.09.2000,-3.953694444444,-73.418722222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 18.8.-14.9.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/12"
10553,GX.9116,GX.9376,GX.9162,http://mus.utu.fi/ZMUT.9783,F,Syzeuctus sp1,Amazon 2000,11.06.2000,29.06.2000,-3.953694444444,-73.418722222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.-29.6.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H2/8"
10554,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9766,F,Syzeuctus sp1,Amazon 2000,29.06.2000,16.07.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 29.6.-16.7.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/9"
10555,GX.9116,GX.9377,GX.9161,http://mus.utu.fi/ZMUT.9773,F,Syzeuctus sp1,Amazon 2000,08.11.2000,01.12.2000,-3.948916666667,-73.421194444444,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 8.11.-1.12.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, H1/16"
10556,GX.9116,GX.9376,GX.9167,http://mus.utu.fi/ZMUT.9852,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.971972222222,-73.432055555556,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, J2/5"
10557,GX.9116,GX.9376,GX.9167,http://mus.utu.fi/ZMUT.9852,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.971972222222,-73.432055555556,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, J2/5"
10558,GX.9116,GX.9376,GX.9167,http://mus.utu.fi/ZMUT.9852,F,Syzeuctus sp1,Amazon 2000,17.04.2000,03.05.2000,-3.971972222222,-73.432055555556,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.4-3.5.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, J2/5"
10559,GX.9116,GX.9376,GX.9167,http://mus.utu.fi/ZMUT.9850,F,Syzeuctus sp1,Amazon 2000,08.03.2000,24.03.2000,-3.971972222222,-73.432055555556,,,J2 1.3-16.3.00 (3) 24.III-2000 (7) 8-24.3.00 11.
10560,GX.9116,GX.9376,GX.9167,http://mus.utu.fi/ZMUT.9851,F,Syzeuctus sp1,Amazon 2000,24.03.2000,17.04.2000,-3.971972222222,-73.432055555556,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo 24.3-17.4.2000, clay Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, J2/4"
10561,GX.9116,GX.9375,GX.9163,http://mus.utu.fi/ZMUT.9795,F,Syzeuctus sp1,Amazon 2000,24.03.2000,17.04.2000,-3.962972222222,-73.442722222222,,,"PERU, Dept. of Loreto Iquitos area, Allpahuayo April 2000, white sand Sääksjärvi, I.E. et al. leg. Malaise trap, APHI, I1/4"
